grupo,inicial,final,mudanca,mudanca_pct
C3,0.46799999999999997,0.49033333333333334,0.02233333333333337,4.77
C0,0.47433333333333333,0.2893333333333334,-0.18499999999999994,-39.0
C2,0.40599999999999997,0.12433333333333334,-0.2816666666666666,-69.38
C0,0.454,0.20466666666666666,-0.24933333333333335,-54.92
C2,0.41133333333333333,0.2653333333333333,-0.14600000000000002,-35.49
C0,0.5503333333333335,0.19066666666666668,-0.3596666666666668,-65.35
C1,0.4116666666666666,0.4266666666666666,0.014999999999999958,3.64
C1,0.38166666666666665,0.19366666666666668,-0.18799999999999997,-49.26
C2,0.461,0.246,-0.21500000000000002,-46.64
C1,0.4000000000000001,0.26333333333333336,-0.13666666666666671,-34.17
C2,0.25699999999999995,0.266,0.009000000000000064,3.5
C1,0.41033333333333327,0.18366666666666667,-0.2266666666666666,-55.24
C2,0.4756666666666667,0.24433333333333332,-0.23133333333333336,-48.63
C0,0.36433333333333334,0.301,-0.06333333333333335,-17.38
C3,0.3893333333333333,0.38999999999999996,0.0006666666666666488,0.17
C2,0.36433333333333334,0.336,-0.02833333333333332,-7.78
C1,0.4363333333333333,0.241,-0.1953333333333333,-44.77
C3,0.4883333333333333,0.4583333333333333,-0.02999999999999997,-6.14
C0,0.39633333333333337,0.27099999999999996,-0.1253333333333334,-31.62
C3,0.442,0.5990000000000001,0.15700000000000008,35.52
C0,0.4176666666666667,0.20733333333333334,-0.21033333333333334,-50.36
C1,0.45133333333333336,0.18500000000000003,-0.2663333333333333,-59.01
C2,0.4546666666666667,0.24533333333333332,-0.2093333333333334,-46.04
C3,0.36999999999999994,0.5013333333333333,0.13133333333333336,35.5
C0,0.37633333333333335,0.29,-0.08633333333333337,-22.94
C1,0.38800000000000007,0.19633333333333336,-0.1916666666666667,-49.4
C1,0.5063333333333334,0.19233333333333333,-0.31400000000000006,-62.01
C3,0.34700000000000003,0.3953333333333333,0.048333333333333284,13.93
C3,0.2996666666666667,0.35366666666666663,0.05399999999999994,18.02
C0,0.426,0.205,-0.221,-51.88
C0,0.4196666666666667,0.29066666666666663,-0.12900000000000006,-30.74
C3,0.35566666666666663,0.3416666666666666,-0.014000000000000012,-3.94
C2,0.3753333333333333,0.11199999999999999,-0.2633333333333333,-70.16
C2,0.3786666666666667,0.27599999999999997,-0.10266666666666674,-27.11
C0,0.449,0.222,-0.227,-50.56
C2,0.47333333333333333,0.4096666666666667,-0.06366666666666665,-13.45
C3,0.3073333333333333,0.19566666666666666,-0.11166666666666664,-36.33
C1,0.40199999999999997,0.18233333333333335,-0.21966666666666662,-54.64
C1,0.4483333333333333,0.15633333333333335,-0.2919999999999999,-65.13
C3,0.345,0.6143333333333333,0.2693333333333333,78.07
