grupo,inicial,final,mudanca,mudanca_pct
C3,0.31433333333333335,0.295,-0.01933333333333337,-6.15
C0,0.4283333333333334,0.6236666666666667,0.1953333333333333,45.6
C2,0.21266666666666664,0.5416666666666666,0.32899999999999996,154.7
C0,0.38000000000000006,0.608,0.22799999999999992,60.0
C2,0.5173333333333333,0.6323333333333333,0.11499999999999999,22.23
C0,0.31066666666666665,0.5996666666666667,0.28900000000000003,93.03
C1,0.54,0.6086666666666667,0.06866666666666665,12.72
C1,0.246,0.532,0.28600000000000003,116.26
C2,0.22066666666666668,0.5830000000000001,0.3623333333333334,164.2
C1,0.383,0.5619999999999999,0.17899999999999994,46.74
C2,0.449,0.5326666666666667,0.08366666666666672,18.63
C1,0.316,0.5833333333333334,0.26733333333333337,84.6
C2,0.2733333333333333,0.5016666666666666,0.22833333333333328,83.54
C0,0.3713333333333333,0.6123333333333333,0.241,64.9
C3,0.5726666666666668,0.43133333333333335,-0.14133333333333342,-24.68
C2,0.37799999999999995,0.6276666666666667,0.24966666666666676,66.05
C1,0.27266666666666667,0.5803333333333334,0.3076666666666667,112.84
C3,0.48500000000000004,0.5586666666666668,0.07366666666666671,15.19
C0,0.287,0.6496666666666667,0.36266666666666675,126.36
C3,0.5750000000000001,0.5643333333333334,-0.010666666666666713,-1.86
C0,0.26666666666666666,0.25333333333333335,-0.013333333333333308,-5.0
C1,0.287,0.6003333333333334,0.3133333333333334,109.18
C2,0.351,0.2233333333333333,-0.12766666666666668,-36.37
C3,0.3876666666666666,0.39433333333333337,0.006666666666666765,1.72
C0,0.2743333333333333,0.5710000000000001,0.29666666666666675,108.14
C1,0.19133333333333336,0.4916666666666667,0.30033333333333334,156.97
C1,0.22333333333333336,0.22166666666666668,-0.0016666666666666774,-0.75
C3,0.336,0.339,0.0030000000000000027,0.89
C3,0.38033333333333336,0.3333333333333333,-0.04700000000000004,-12.36
C0,0.25033333333333335,0.588,0.3376666666666666,134.89
C0,0.3203333333333333,0.22966666666666666,-0.09066666666666665,-28.3
C3,0.3423333333333334,0.3013333333333333,-0.04100000000000009,-11.98
C2,0.324,0.5783333333333334,0.25433333333333336,78.5
C2,0.24633333333333332,0.148,-0.09833333333333333,-39.92
C0,0.3546666666666667,0.18133333333333335,-0.17333333333333334,-48.87
C2,0.33866666666666667,0.2663333333333333,-0.07233333333333336,-21.36
C3,0.4683333333333333,0.4386666666666667,-0.02966666666666662,-6.33
C1,0.20166666666666666,0.7073333333333333,0.5056666666666666,250.74
C1,0.22866666666666666,0.5256666666666666,0.29699999999999993,129.88
C3,0.5990000000000001,0.6680000000000001,0.06900000000000006,11.52
